emp_basic_id,master_job_title_key,company_name,company_address,date_from,date_to,industry,salary,responsibilities
37,Computer Tech. Support,Accent Micro Tech. Inc.,"Suite 1408 14th flr.,Antel Global, Pasig City Phil.",2004-02-01,2004-07-01,HW Support,,Greener pasture
37,Tech. Sales Supervisor,Exponent Enterprises,"Tiongsan Harrison Dept. Store, Baguio City",2002-08-01,2004-02-01,Computer Sales/Store,,Career Bldg.
37,Computer Tech. Support,Norm Computer Shop,KM5 New Publics Market,2000-01-01,2002-08-01,Computer Shop,,Greener pasture
37,OJT-Assistant PE,Texas Instrument Philippines Inc.,"Loakan Rd., Baguio City",2001-11-01,2002-04-01,Semi Conductor,,Greener pasture
58,CSR,Convergys,John Hay,2014-08-01,,Call Center,,New Job
58,TSR,Convergys,"Libis, Quezon City",2013-09-01,2014-05-01,Call Center,,Personal
58,TSR,TPG,"Ortigas, Pasig City",2012-11-01,2013-08-01,Call Center,,Personal
38,Software Engineer,MISYS,"8th flr. Zuelling Bldg. Ayala Cor. Paseo de Roxas, makati City",2013-11-01,2015-09-01,Software/Banking Systems,,
38,Science Aide,DOST - GIA Project,"EEEI Building, Velasquez St., UP Diliman",2013-01-01,2013-12-01,Research and Development,,
36,Talent Acquisition Specialist,Sunpower Philippines Manufacturing Limited,"FPIP, Sto. Tomas, Batangas",2013-02-01,2013-10-01,Manufacturing,,
36,Human Resource Assistant,Malayan Colleges Laguna,"Diezmo Rd., Pulo, Calamba City",2012-01-01,2012-04-01,Education,,
36,Customer Service Representative,Sitel Corporation,"PEZA Loakan, Baguio City",2009-08-01,2011-10-01,BPO,,
36,Clerk 1,Isuzu Philippines Corporation,"Laguna Technopark, Biñan, Laguna",2005-06-01,2005-09-01,,,
63,Señor Software Engineer,Accenture,"Pioneer St., mandaluyong City",2007-07-01,2014-06-01,IT,40000,
63,.Net Developer,Innerworks International,"ADB Ave., Ortigas, Pasig City",2014-09-01,2014-11-01,IT,45000,
63,Share Point Developer,Collabera Technologies,"V.A. Rufino St., Ayala Ave., Makati City",2014-11-01,2016-01-01,IT,80000,
41,Digital Order Support,Teletech,"MOA Complex Roxas, Pasay City",2013-11-01,2014-09-01,BPO,,
43,Asia Regional Helpdesk,Raj Technologies Inc.,,2009-10-01,,Information Technology,,
44,Technical Support,Cantier Systems Inc.,Muntinlupa City,2014-07-01,2015-04-01,IT,12500,New position
45,,RAJ,,,,Semicon/Outsourcing,,
46,Customer Service Representative,GGP Contact Solution,"Upper Fairview, Baguio City",2010-06-01,2010-11-01,BPO,8000,
47,Asia Regional HD,Raj Technologies Inc.,,2010-10-01,2011-09-01,,,Re-assinged
47,Administrative Asst.,RAJ,,2011-09-01,2013-07-01,,,Re-assinged
47,HR Officer,RAJ,,2013-07-01,2014-10-01,,,Re-assinged
48,Production Operator,Ichinomiya Electronics Philippines Inc.,"128 East Main Ave. Ext., Sepz, Laguna",2001-05-01,2002-03-01,Electronics,5000,Job Opening at AMKOR
48,Equipment Engineer,AMKOR Technology Philippines Inc.,"KM.22 East Service rd., SSH Cupang Muntinlupa City 4th district 1770",2002-04-01,2003-03-01,Semi Conductor,7000,Pregnant with first child
49,Application Developer,RAJ Tech,#7 Labsan St.,2014-06-01,2014-11-01,,,
49,Mainframe Admin,,,2015-11-01,2016-08-01,,,
49,Sharepoint Support,,,2016-05-01,2016-08-01,,,
49,Application Developer,,,2016-08-01,,,,
67,IT Support,RAJ,Baguio City,2014-10-01,2015-12-01,TI,,CCNA
6,On-The-Job-Trainee(OJT),Office of the Sec. to the Sangguniang Bayan,"Alicia, Isabela",2006-11-01,2007-01-01,Government,,End of OJT
6,IC Assembler/ Product Specialist,Texas Instruments Inc.,"Peza Loakan Rd., Baguio City",2008-03-01,2008-08-01,Manufacturing,,End of Contract
6,Customer Service Assistant(CSA),Mainstream Business Inc.,"Upper Leonila Hill, Baguio City",2009-04-01,2011-05-01,Sales and Marketing,,Looking for other opportunities
6,,SM Department Store,,,,,,
6,IT Helpdesk,Raj Technologies,"Labsat St. Kayang Extension, Baguio City",2011-12-01,,IT,,
57,,SITEL Phils. Corp,"Peza Compound, Loakan Rd., Baguio City",2009-01-01,2010-01-01,BPO,,
57,,Sutherlan Global Services,Clarkfield Pampanga,2010-09-01,2011-01-01,BPO,,
57,,SITEL Phils. Corp,"Peza Compound, Loakan Rd., Baguio City",2011-03-01,2013-02-01,BPO,,
21,CSR,Sitel Baguio,,2014-10-01,2015-04-01,BPO,,
22,STSE Admin,Raj Tech. Inc. Deployed in TI,"2/f Raj Bldg. Labsan St., Baguio City",2015-03-01,,IT Industry,,
22,Freelance Web Develeoper,,,2014-11-01,2015-02-01,IT Industry,10000,Hired in RAJ
22,Web Developer,Wowstream,"Purok pidawan, Loakan, Baguio City",2014-07-01,2014-10-01,IT Industry,10000,The company will move to other location
62,Java Developer/ Web Developer,BPM - Conseil/Isclae Solutions Inc.,Makati City,2015-01-01,2015-12-01,IT Company,17000,End of Contract
62,Java Developer,St. Lukes Medical Center/ Collabera,Quezon City,2016-02-01,2016-10-01,Hospital,20000,Resignation
25,Intern,Baguio City Hall,,2010-06-01,2010-09-01,,,
25,Voicemail Transcriptionist,Data CoreTech Solutions,,2011-01-01,2011-04-01,,,
25,Data Entry Operator,productreview.com.au,,2011-10-01,2013-07-01,,,
25,Network Specialist,Freelance,,2013-10-01,2014-05-01,,,
60,Programmer Trainee,Nova Solutions,"JMT Corporate, Ortigas Center Pasig",2016-05-01,2016-06-01,Software Development,,
80,Technical Support,Allcard Plastics Pphilippines Inc.,"Ortigas Center, Pasig City",2014-02-01,2014-09-01,,,
80,Associate Software Engineer,Accenture Inc.,Mandaluyong,2015-01-01,2017-04-01,,,
84,Application Developer,ACESTAR,"Norwegian Bldg., Loakan Road, Baguio City",2017-02-01,2017-11-01,IT Solutions,,
85,Developer Applications,ACESTAR,"Norwegian Bldg., Loakan Road, Baguio City",2016-08-01,2017-11-01,IT Solutions,,
86,Application Developer,Acestar Solutions and Trading Inc.,"Peza Utility Bldg., Loakan Road., B.C.",2017-01-01,2017-11-01,,,
87,Applications Developer,Acestar Solutions and Trading Inc.,Norwelgian Collection Bldg. B.C.,2017-07-01,2017-11-01,IT Industry,15000,End of Contract
88,Application Developer,ASTI,"Norwegian Collection Bldg., Loakan Road",2017-06-01,,IT Industry,,
90,Process Engineer,Mepcon Philippines Inc.,"Atok Trail, Baguio City",,,Manufacturing,,
90,Ads. Specialist,Wipeout Work Forces,"Buendia, Makati City",,,IT,,
90,App. Developer and Support,Acestar Solutions and Trading Inc.,"Loakan Road, Baguio City",,,IT,,
92,Threat Response Engineer,Trend Micro,"8th Floor Tower 2 The Rockwell Business Center, Pasig City",2017-07-01,2017-09-01,IT Software,24200,Career Focus
93,Usher/Porter,SM Cinema,,,,,,
93,IT Specialist,RAJ Technologies Inc.,"#7 Labsan Street, Kayang Extension, Baguio City",,,,,
95,Executive Operations,Teleperformance - Baguio,Baguio City,2014-05-01,2014-09-01,BPO,14000,End of Contract
96,Production Specialist Intern,Texas Instrument,"Loakan Road, Baguio City",2016-05-01,2016-07-01,,,Business Family
96,On The Job Training,Department of Health,BGHMC Compund,2014-04-01,2014-07-01,,,End of Contract
98,System Developer,"Acestar Solutions and Tradings, Inc","Norwegian Collections Buidling, Loakan Road, Baguio City",,,IT,,
99,Application Developer,"Acestar Solutions and Tradings, Inc","Peza, Loakan Road, Baguio City",2014-11-01,2017-11-01,IT Services,,End of Contract
100,On-the-Job-Training,Texas Instruments Inc,"Loakan Road, Baguio City",2013-03-01,2013-05-01,,,end of Contract
100,Application Developer/Support,Acestar Solutions Inc.,Norwegian Collections Bldg. Loakan Rd Baguio City,2014-05-01,2016-07-01,,,end of contract
100,Technical Lead,Acestar Solutions Inc.,"Norwegian Collections Bldg. Loakan Road, Baguio City",2016-07-01,2017-11-01,,,end of contract
